symptoms,label,disease
normal breathing one fish not sure what happened,4,Healthy Fish
skin looks reddish and damaged not eating properly one fish bleeding marks on skin what disease is this,0,Bacterial Red disease
since yesterday deep skin ulcers fish looks stressed other fish look normal,1,Bacterial diseases - Aeromoniasis
fungal growth on skin water temperature changed hiding in corner fuzzy white patches in my aquarium...,3,Fungal diseases Saprolegniasis
bloody red spots in my aquarium abnormal swimming deep skin ulcers,1,Bacterial diseases - Aeromoniasis
tank was cleaned yesterday red wounds with swelling hiding in corner getting worse,1,Bacterial diseases - Aeromoniasis
mold like growth on tail hiding in corner...,3,Fungal diseases Saprolegniasis
one fish has scales sticking out dropsy like swelling color looks dull weak swimming with white tail...,1,Bacterial diseases - Aeromoniasis
sometimes floating near surface taill turning white pale gills i noticed fish looks stressed water temperature changed other fish look normal,6,Viral diseases White tail disease
IT HAPPENS MOSTLY AT NIGHT ACTIVE AND EATING WELL SINCE YESTERDAY,4,Healthy Fish
SINCE YESTERDAY RED WOUNDS WITH SWELLING BRETHING FASTER THAN NORMAL FISH LOOKS TIRED TAIL FIN BECOMING PALE PLEASE HELP,1,Bacterial diseases - Aeromoniasis
SINCE YESTERDAY RED WOUNDS ON BELLY BREATHING FASTER THAN NORMAL WATER IS SLIGHTLY DIRTY ONLY ONE FISH AFFECTED,0,Bacterial Red disease
fish opens mouth repeatedly fish looks stressed feed was changed recently not sure what happened,2,Bacterial gill disease
today i saw red streaks around tail small blood marks on scales breathing faster than normal feed was changed recently not sure what happened,0,Bacterial Red disease
one fish mold like growth on tail fins are clamped please help white hairy patch,3,Fungal diseases Saprolegniasis
please help i noticed swims fine most of the time smooth scales,4,Healthy Fish
Loss of appitite filter was off for few hours,1,Bacterial diseases - Aeromoniasis
Since yesterday swollen belly sometimes floating near surface not sure what happened,1,Bacterial diseases - Aeromoniasis
color looks dull i noticed what disease is this white spots on body gills look damaged water smells bad fish looks stressed gills look damaged,2,Bacterial gill disease
Tank was cleaned yesterday since yesterday swims fine most of the time fish looks helthy other fish look normal,4,Healthy Fish
i noticed fish looks bloated and weak dropsy like swelling what diesase is this,1,Bacterial diseases - Aeromoniasis
tail turning white not eating properly color looks dull today i saw only one fish affected milky white tail,6,Viral diseases White tail disease
Color looks dull tank has algae,2,Bacterial gill disease
today i saw small blood marks on scales bloody red spots staying at bottom sometimes floating near surface pH may be unstable other fish look normal,0,Bacterial Red disease
my fish has red sores near fins bleeding marks on skin slow swimming slow swimming please help,0,Bacterial Red disease
fish showing gills look damaged swollen gills fish looks tired started recently?,2,Bacterial gill disease
fins are clamped scales sticking out for 2 days bloody red spots is it serious,1,Bacterial diseases - Aeromoniasis
one fish has white taill tip abnormal swimming not eating properly started recently,6,Viral diseases White tail disease
tail rot like white area fins are clamped...,6,Viral diseases White tail disease
it happens mostly at night fish looks stressed in my aquarium breathing difficulty,2,Bacterial gill disease
today i saw active and eating well started recently,4,Healthy Fish
fish looks stressed only one fish affected inflamed red areas my fish has hiding in corner small blood marks on scales,0,Bacterial Red disease
hiding in corner fish looks bloated weak,1,Bacterial diseases - Aeromoniasis
fuzzy white patches fins are clamped,3,Fungal diseases Saprolegniasis
fluffy fungus near wound hiding in corner...,3,Fungal diseases Saprolegniasis
Bloated abdomen weak movement,1,Bacterial diseases - Aeromoniasis
white hairy patch loss of appetite does not react much new fish added recently it happens mostly at night,3,Fungal diseases Saprolegniasis
is it serious in my aquarium parasites attached to skin staying at bottom tank was cleaned yesterday scratching against rocks milky white tail...,5,Parasitic diseases
my fish has wite discoloration on tail slow swimming sometimes floating near surfac started recently,6,Viral diseases White tail disease
in my aquarium wite tail tip staying at bottom less active than usual started recently,6,Viral diseases White tail disease
smooth scales,4,Healthy Fish
problem is red patches on body red wounds on belly does not react much tank has algae only one fish affected,0,Bacterial Red disease
is it serious fish looks bloated and weak weak movement my fish has,1,Bacterial diseases - Aeromoniasis
fish was moved to new tank less active than usual?,6,Viral diseases White tail disease
DOES NOT REACT MUCH GETTING WORSE ONE FISH HAS SMALL BLOOD MARKS ON SCALES,0,Bacterial Red disease
since yesterday smooth scales it happens mostly at night,4,Healthy Fish
LESS ACTIVE THAN USUAL PALE GILLS FISH OPENS MOUTH REPEATEDLY PH MAY BE UNSTABLE IS IT SERIOUS PROBLEM IS,2,Bacterial gill disease
sometimes floating near serface ammonia may be high,2,Bacterial gill disease
fish looks tired mold growth on tail,3,Fungal diseases Saprolegniasis
abnormal swimming filter was off for few hours,0,Bacterial Red disease
since yesterday is it serious normal appetite water is cloudy,4,Healthy Fish
since yesterday red streaks around tail color looks dull other fish look normal,0,Bacterial Red disease
red sores near fins slow swimming...,0,Bacterial Red disease
Problem is flashing behavior only one fish affected,5,Parasitic diseases
for 2 days white hairy patch fish looks tired please help...,3,Fungal diseases Saprolegniasis
slow swimming tank has algae,1,Bacterial diseases - Aeromoniasis
healthy fins sometimes stays still only one fish affected,4,Healthy Fish
Fluffy fungus near wound staying at bottom?,3,Fungal diseases Saprolegniasis
i noticed bloody red spots weak movement water temperature changed getting worse...,0,Bacterial Red disease
problem is red streaks around tail red wounds belly abnormal swimming other fish look normal,0,Bacterial Red disease
getting worse tail end looks dead tail rot like wite area weak movement filter was off for few hours since yesterday...,6,Viral diseases White tail disease
white hairy patch started recently i noticed fluid filled belly deep skin ulcers,1,Bacterial diseases - Aeromoniasis
one fish has mold like growth on tail fuzzy white patches is it serious...,3,Fungal diseases Saprolegniasis
IN MY AQUARIUM TAIL TISSUE DAMAGED HIDING IN CORNER WEAK MOVEMENT WATER TEMPERATURE CHANGED GETTING WORSE,6,Viral diseases White tail disease
One fish has tail fin becoming pale fins are clamped tank was cleaned yesterday white mold on fins not sure what happened,6,Viral diseases White tail disease
gills look damaged fish looks stressed,2,Bacterial gill disease
does not react much not eating properly what desease is this white cotton like growth fish keeps scratching fish showing,5,Parasitic diseases
problem is tail end looks dead is it serious,6,Viral diseases White tail disease
today i saw bleeding marks on skin red wounds on belly staying at bottom not sure what happened,0,Bacterial Red disease
in my aquarium dropsy like swelling body ulcers hiding in corner water is slightly dirty is it serious,1,Bacterial diseases - Aeromoniasis
weak swimming with white tail...,6,Viral diseases White tail disease
for 2 days hiding in corner after water change slow swimming red patches on body,0,Bacterial Red disease
for 2 days activ and eating well swims fine most of the time is it serious,4,Healthy Fish
fish showing brown gill color pale gills slow swimming breathing faster than normal deep skin ulcerss getting worse,2,Bacterial gill disease
fish showing fuzzy white patches fins are clamped loss of appitite tank was cleaned yesterday,3,Fungal diseases Saprolegniasis
my fish has mold like growth on tail white mold on fins fish looks stressed fins clamped not sure what happened,3,Fungal diseases Saprolegniasis
in my aquarium fish opens mouth repeatedly mucus on gills fins are clamped staying at bottom it happens mostly at night,2,Bacterial gill disease
not eating properly fish showing started recently bleeding marks on skin after water change...,0,Bacterial Red disease
fluid filled belly color looks dull red wounds with swelling today i saw fish looks stressed,1,Bacterial diseases - Aeromoniasis
white discoloration on tail less active than usual,6,Viral diseases White tail disease
i noticed fish swimming normally only one fish affected,4,Healthy Fish
inflamed red areas fish looks stressed,0,Bacterial Red disease
FISH SHOWING SKIN LOOKS REDDISH AND DAMAGED SKIN LOOKS REDDISH AND DAMAGED HIDING IN CORNER,0,Bacterial Red disease
please help loss of appetite problem is white mold on fins tank was cleaned yesterday...,3,Fungal diseases Saprolegniasis
for 2 days flashing behavior slow swimming not sure what happened?,5,Parasitic diseases
fish showing cotton wool growth fungal growth on skin abnormal swimming getting worse?,3,Fungal diseases Saprolegniasis
fish looks stressed tail rot like white area,6,Viral diseases White tail disease
In my aquarium weak swimming with white tail fish looks tired weak movement swollen belly please help,6,Viral diseases White tail disease
my fish has milky white tail tank was cleaned yesterday scratching against rocks not sure what happened,6,Viral diseases White tail disease
Fish looks tired fish opens mouth repeatedly?,2,Bacterial gill disease
fish looks stressed fish was moved to new tank is it serious tail rot like white area fish looks stressed for 2 days,6,Viral diseases White tail disease
fish showing fluffy fungus near wound fuzzy wite patches hiding in corner flashing behavior other fish look normal,3,Fungal diseases Saprolegniasis
my fish has red patches on body bleeding marks on skin loss of appitite red wounds with swelling not sure what happened,0,Bacterial Red disease
clear eyes,4,Healthy Fish
color looks dull feed was changed recently,5,Parasitic diseases
MY FISH HAS RED PATCHES BODY LESS ACTIVE THAN USUAL WATER IS SLIGHTLY DIRTY PARASITES ATTACHED TO SKIN IT HAPPENS MOSTLY AT NIGHT,0,Bacterial Red disease
fluid filled belly abnormal swimming,1,Bacterial diseases - Aeromoniasis
today i saw white cotton like growth fungus on body fish looks stressed less active than usual red wounds swelling not sure what happened,3,Fungal diseases Saprolegniasis
it happens mostly at night color looks dull hiding in corner problem is mucus on gills oxygen level may be low,2,Bacterial gill disease
not sure what happened red wounds on belly hiding in corner fish looks stressed problem is?,0,Bacterial Red disease
since yesterday small blood marks on scales breathing faster than normal filter was off for few hours what disease is this...,0,Bacterial Red disease
bloody red spots one fish has fish looks tired please help fish looks tired small blood marks on scales,0,Bacterial Red disease
problem is smooth scales eats a little slow but normal getting worse...,4,Healthy Fish
today i saw red sores near fins red patches on body hiding in corner fins are clamped water is slightly dirty dropsy like swelling it happens mostly at night...?,0,Bacterial Red disease
white cotton like growth color looks dull,3,Fungal diseases Saprolegniasis
fish showing visible lice on fish hiding in corner tank was cleaned yesterday please help,5,Parasitic diseases
red patches on body brething faster than normal,0,Bacterial Red disease
"is it serious active, eating well my fish has",4,Healthy Fish
small blood marks on scales loss of apetite sometimes floating near surface is it serious,0,Bacterial Red disease
My fish has inflamed red areas skin looks reddish and damaged fish looks tired after water change fluid filled belly started recently,0,Bacterial Red disease
one fish has red wounds on belly bloody red spots hiding in corner what disease is this,0,Bacterial Red disease
cotton wool growth slow swimming,3,Fungal diseases Saprolegniasis
fish looks healthy,4,Healthy Fish
scales sticking out loss of appetite,1,Bacterial diseases - Aeromoniasis
FLASHING BEHAVIOR PARASITES ATTACHED TO SKIN FISH LOOKS TIRED,5,Parasitic diseases
started recently no red spots no visible wounds in my aquarium,4,Healthy Fish
Fish showing inflamed red areas bloody red spots sometimes floating near surface loss of appetite fungal growth on skin other fish look normal,0,Bacterial Red disease
since yesterday red streaks around taill staying at bottom water is slightly dirty not sure what happened,0,Bacterial Red disease
gill look damaged what disease is this fish opens mouth repeatedly staying at bottom my fish,2,Bacterial gill disease
NOT SURE WHAT HAPPENED INFLAMED RED AREAS WEAK MOVEMENT SINCE YESTERDAY LESS ACTIVE THAN USUAL RED ULCERS ON BODY,0,Bacterial Red disease
today i saw gasping at water surface other fish look normal,2,Bacterial gill disease
tail tissue damaged breathing faster than normal,6,Viral diseases White tail disease
Problem is fish swimming normally not sure what happened,4,Healthy Fish
today i saw milky white tail tail end looks dead breathin faster than normal new fish added recently getting worse...,6,Viral diseases White tail disease
in my aquarium scales sticking out swollen belly slow swimming what disease is this?,1,Bacterial diseases - Aeromoniasis
fish keeps scratching feed was changed recently started recently fuzzy whit patches fish looks tired one fish has,3,Fungal diseases Saprolegniasis
i noticed white mold on fins fuzzy white patches filter was off for few hours please help,3,Fungal diseases Saprolegniasis
mold like growth on tail grey whit fungus does not react much weak movement inflamed red areas please help...,3,Fungal diseases Saprolegniasis
in my aquarium fluid filled belly fish looks stressed fins are clamped not sure what happened,1,Bacterial diseases - Aeromoniasis
fish showing healthy fins swims fine most of the time not sure what happened,4,Healthy Fish
it happens mostly at night scales sticking out fluid filled belly not eating properly today i saw water is slightly dirty,1,Bacterial diseases - Aeromoniasis
visible lice on fish fish keeps scratching breathing faster than normal,5,Parasitic diseases
one fish has swollen gills mucus gill loss of appetite slow swimming what disease is this,2,Bacterial gill disease
since yesterday deep skin ulcers fish looks bloated and weak does not react much water is slightly dirty started recently,1,Bacterial diseases - Aeromoniasis
less active than usual fish was moved to new tank...,5,Parasitic diseases
fish looks stressed feed was changed recently,2,Bacterial gill disease
bloated abdomen fins are clamped...,1,Bacterial diseases - Aeromoniasis
i noticed red streaks around tail red streaks around taill not eating properly feed was changed recently it serious,0,Bacterial Red disease
fish showing wite patch starting from tail whit tail tip sometimes floating near surface it happens mostly at night,6,Viral diseases White tail disease
fish showing weak swimming with white tail does not react much fungus on body not sure what happened,6,Viral diseases White tail disease
i noticed popeye fish looks tired abnormal swimming only one fish affected,1,Bacterial diseases - Aeromoniasis
slow swimming pH may be unstable...,1,Bacterial diseases - Aeromoniasis
problem is red sores near fins bloody red spots loss of appetite color looks dull is it serious,0,Bacterial Red disease
wite mold on fins white mold on fins less active than usual new fish added recently please help,3,Fungal diseases Saprolegniasis
one fish has rubbing body on tank wall visible lice on fish hiding in corner small blood marks on scales other fish look normal,5,Parasitic diseases
red wounds with swelling problem water temperature changed only one fish affected white patch starting from tail,6,Viral diseases White tail disease
STAYING AT BOTTOM AFTER WATER CHANGE,2,Bacterial gill disease
my fish tail rot like white area loss of appetite please help,6,Viral diseases White tail disease
in my aquarium inflamed red areas does not react much hiding in corner not sure what happened,0,Bacterial Red disease
I NOTICED TAIL FIN BECOMING PALE PH MAY BE UNSTABLE WHAT DISEASE IS THIS,6,Viral diseases White tail disease
since yesterday fuzzy white patches cotton wool growth staying at bottom what disease is this,3,Fungal diseases Saprolegniasis
problem is deep skin ulcers bloated abdomen fish looks stressed sometimes floating near surface fish keeps scratching is it serious,1,Bacterial diseases - Aeromoniasis
one fish has bright body color swims fine most of time it happens mostly at night...,4,Healthy Fish
one fish has loss of appetite breathing difficulty what disease is this...,2,Bacterial gill disease
MY FISH HAS GILLS LOOK DAMAGED GILLS LOOK DAMAGED DOES NOT REACT MUCH WATER IS SLIGHTLY DIRTY,2,Bacterial gill disease
since yesterday taill end looks dead loss of appetite only one fish affected,6,Viral diseases White tail disease
bloody red spots oxygen level may be low fluffy fungus near wound fuzzy white patches since yesterday,3,Fungal diseases Saprolegniasis
popeye breathing faster than normal,1,Bacterial diseases - Aeromoniasis
TODAY I SAW TAIL ROT LIKE WHITE AREA LESS ACTIVE THAN USUAL WATER TEMPERATURE CHANGED WHITE SPOTS ON BODY PLEASE HELP,6,Viral diseases White tail disease
After water change not sure what happened clamped fins fish looks tired staying at bottom scratching against rocks,5,Parasitic diseases
for 2 days rapid gill movement stays near filter outlet less active than usual tail rot like white area only one fish affected,2,Bacterial gill disease
one fish has taill rot like white area weak swimming with white taill abnormal swimming please help,6,Viral diseases White tail disease
slow swimming tank has algae,0,Bacterial Red disease
SLOW SWIMMING WATER IS SLIGHTLY DIRTY...?,6,Viral diseases White tail disease
i noticed dropsy like swelling body ulcers abnormal swimming fish looks tired what disease is this,1,Bacterial diseases - Aeromoniasis
in my aquarium fish swimming normally only resting after feeding is it serious,4,Healthy Fish
in my aquarium breathing difficulty fins are clamped weak movement water smells bad getting worse,2,Bacterial gill disease
in my aquarium red wounds swelling breathing faster than normal oxygen level may be low getting worse,1,Bacterial diseases - Aeromoniasis
loss of appetite today i saw it happens mostly at night feed was changed recently weak swimming with white tail slow swimming,6,Viral diseases White tail disease
for 2 days abnormal swimming what disease is this ammonia may be high staying at bottom fish keeps scratching,5,Parasitic diseases
In my aquarium fuzzy white patches hiding in corner tank was cleaned yesterday,3,Fungal diseases Saprolegniasis
i noticed fish was moved to new tank only one fish affected visible lice on fish staying at bottom?,5,Parasitic diseases
since yesterday active and eating well,4,Healthy Fish
FISH SHOWING FISH LOOKS BLOATED AND WEAK POPEYE DOES NOT REACT MUCH STAYING AT BOTTOM AMMONIA MAY BE HIGH IS IT SERIOUS,1,Bacterial diseases - Aeromoniasis
fish keeps scratching my fish has it happens mostly at night gasping at water surface abnormal swimming,5,Parasitic diseases
IN MY AQUARIUM SCALES STICKING OUT POPEYE SOMETIMES FLOATING NEAR SURFACE FILTER WAS OFF FOR FEW HOURS STARTED RECENTLY,1,Bacterial diseases - Aeromoniasis
less aktive than usual water is cloudy,5,Parasitic diseases
tail rot like white area breathing faster than normal,6,Viral diseases White tail disease
clear eyes fish showing filter was off for few hours not sure what happened no red spots,4,Healthy Fish
today i saw white spots on body scratching against rocks not eating properly after water change getting worse,5,Parasitic diseases
Problem is stays near filter outlet does not react much other fish look normal,2,Bacterial gill disease
white mold fins does not react much other fish look normal...,3,Fungal diseases Saprolegniasis
since yesterday fluffy fungus wound cotton wool growth fish looks stressed loss of apetite fluid filled belly please help,3,Fungal diseases Saprolegniasis
hiding in corner fish looks stressed white mold on fins tail rot like white area...,6,Viral diseases White tail disease
fish showing parasites attached to skin bleeding marks on skin fish looks stressed abnormal swimming scratching against rocks,5,Parasitic diseases
Fish showing fish looks bloated and weak red wounds with swelling sometimes floating surface tank was cleaned yesterday other fish look normal,1,Bacterial diseases - Aeromoniasis
fish keeps scratching hiding in corner fish looks tired ammonia may be high only one fish affected red ulcers on body problem,0,Bacterial Red disease
"in my aquarium active, eating well only resting after feeding new fish added recently getting worse",4,Healthy Fish
Fish showing deep skin ulcers swollen belly sometimes floating near surface staying at bottom getting worse,1,Bacterial diseases - Aeromoniasis
problem is fluffy fungus near wound fluffy fungus wound hiding in corner only one fish affected,3,Fungal diseases Saprolegniasis
Problem is smooth scales no swelling,4,Healthy Fish
problem is bright body color water temperature changed not sure what happened,4,Healthy Fish
inflamed red areas fins are clamped...,0,Bacterial Red disease
my fish has popeye color looks dull fish looks stressed ammonia may be high other fish look normal?,1,Bacterial diseases - Aeromoniasis
Tail rot like white area less active than usual,6,Viral diseases White tail disease
problem is white cotton like growth white cotton like growth hiding in corner breathing faster than normal,3,Fungal diseases Saprolegniasis
my fish has fish opens mouth repeatedly less active than usual water is slightly dirty started recently,2,Bacterial gill disease
since yesterday healthy fins no breathing issue it happens mostly at night,4,Healthy Fish
since yesterday red wounds with swelling body ulcers color looks dull tank has algae not sure what happened,1,Bacterial diseases - Aeromoniasis
TODAY I SAW SMOOTH SCALES ONLY RESTING AFTER FEEDING WHAT DISEASE IS THIS,4,Healthy Fish
does not react much other fish look normal sometimes floating near surface since yesterday dropsy like swelling,1,Bacterial diseases - Aeromoniasis
white mold on fins white cotton growth is it serious new fish added recently slow swimming for 2 days?,3,Fungal diseases Saprolegniasis
i noticed milky white tail tail turning white weak movement hiding in corner whit cotton like growth please help,6,Viral diseases White tail disease
tail rot like white area fish showing what disease is this white tail tip?,6,Viral diseases White tail disease
loss of appetite fish was moved to new tank cotton wool growth one fish has getting worse rubbing body on tank wall,3,Fungal diseases Saprolegniasis
problem is mucus on gills only one fish affected,2,Bacterial gill disease
Water is cloudy fish looks stressed,3,Fungal diseases Saprolegniasis
not eating properly water temperature changed,2,Bacterial gill disease
for 2 days milky white tail staying at bottom water smells bad what disease is this,6,Viral diseases White tail disease
bright body color,4,Healthy Fish
DOES NOT REACT MUCH SWOLLEN GILLS FOR 2 DAYS IT HAPPENS MOSTLY AT NIGHT NEW FISH ADDED RECENTLY,2,Bacterial gill disease
my fish has less active than usual sometimes floating near serface please help cotton wool growth weak swimming with white teil tail turning white,6,Viral diseases White tail disease
I NOTICED BRIGHT BODY COLOR AFTER WATER CHANGE STARTED RECENTLY,4,Healthy Fish
color looks dull rubbing body on tank wall fish showing oxygen level may be low only one fish affected abnormal swimming parasites attached to skin,5,Parasitic diseases
abnormal swimming i noticed red patches on body other fish look normal red ulcers on body...,0,Bacterial Red disease
since yesterday inflamed red areas red wounds on belly started recently breathing faster than normal,0,Bacterial Red disease
fish showing small blood marks on scales skin looks reddish and damaged hiding in corner fins are clamped tank has algae please help,0,Bacterial Red disease
"in my aquarium fish looks bloated, weak sometimes floating near surface only one fish affected",1,Bacterial diseases - Aeromoniasis
problem is tail end looks dead fins are clamped staying at bottom water temperature changed please help,6,Viral diseases White tail disease
one fish has fuzzy white patches mold like growth on tail color looks dull fins are clamped please help,3,Fungal diseases Saprolegniasis
Breathing difficulty swollen gills fish looks stressed sometimes floating near surface fish was moved to new tank is it serious,2,Bacterial gill disease
red streaks around teil breathing faster than normal,0,Bacterial Red disease
problem is rubbing body on tank wall sometimes floating near surface only one fish affected,5,Parasitic diseases
for 2 days skin looks reddish damaged weak movement fins are clamped ammonia may be high white discoloration on tail it happens mostly at night,0,Bacterial Red disease
feed was changed recently is it serious milky white tail color looks dull one fish has tail rot like whit area?,6,Viral diseases White tail disease
my fish has fuzzy white patches loss of appetite sometimes floating near surface please help,3,Fungal diseases Saprolegniasis
skin irritation hiding in corner,5,Parasitic diseases
water is cloudy other fish look normal fish showing pale gills does not react much sometimes floating near surface,2,Bacterial gill disease
SINCE YESTERDAY FUNGAS ON BODY FUNGAL GROWTH ON SKIN TANK HAS ALGAE BROWN GILL COLOR,3,Fungal diseases Saprolegniasis
gasping at water surfac other fish look normal today i saw swollen gills,2,Bacterial gill disease
in my aquarium popeye started recently,1,Bacterial diseases - Aeromoniasis
PROBLEM IS FISH SWIMMING NORMALLY NOT SURE WHAT HAPPENED PH MAY BE UNSTABLE,4,Healthy Fish
I noticed smooth scales sometimes stays still what disease is this?,4,Healthy Fish
tail end looks dead less activ than usual...,6,Viral diseases White tail disease
not eating properly feed was changed recently?,1,Bacterial diseases - Aeromoniasis
For 2 days teil fin becoming pale tail end looks dead slow swimming dropsy like swelling getting worse,6,Viral diseases White tail disease
Other fish look normal today i saw staying at bottom red wounds on belly,0,Bacterial Red disease
please help fish showing fish looks healthy,4,Healthy Fish
white mold on fins problem is staying at bottom not sure what happened,3,Fungal diseases Saprolegniasis
today i saw whit spots on body clamped fins less activ than usual what disease is this,5,Parasitic diseases
whit spots on body abnormal swimming,5,Parasitic diseases
popeye fins are clamped,1,Bacterial diseases - Aeromoniasis
fins are clamped tank was cleaned yesterday tail tissue damaged since yesterday is it serious dropsy like swelling body ulcers abnormal swimming...,1,Bacterial diseases - Aeromoniasis
body ulcers weak movement body ulcers what disease is this fish looks tired i noticed?,1,Bacterial diseases - Aeromoniasis
fish looks bloated and weak fins are clamped,1,Bacterial diseases - Aeromoniasis
I NOTICED NORMAL APPETITE NO WHITE SPOTS AFTER WATER CHANGE STARTED RECENTLY...,4,Healthy Fish
problem is rapid gill movement gasping at water surface sometimes floating near surface staying at bottom water smells bad is it serious,2,Bacterial gill disease
problem is fish swimming normally no white spots what disease is this,4,Healthy Fish
color looks dull water is cloudy...,1,Bacterial diseases - Aeromoniasis
"staying at bottom not sure what happened in my aquarium fish looks bloated, weak not eating properly",1,Bacterial diseases - Aeromoniasis
fish showing white spots on body other fish look normal fuzzy white patches weak movement white hairy patch,3,Fungal diseases Saprolegniasis
color looks dull filter was off for few hours,3,Fungal diseases Saprolegniasis
today i saw fish opens mouth repeatedly less active than usual sometimes floating near surface parasites attached to skin is it serious,2,Bacterial gill disease
water is cloudy my fish has color looks dull tail rot like white area getting worse,6,Viral diseases White tail disease
fish showing pale gills swollen gills sometimes floating near surface abnormal swimming oxygen level may be low parasites attached to skin what disease is this,2,Bacterial gill disease
parasites attached to skin is it serious problem is swollen gills,5,Parasitic diseases
i noticed small blood marks on scales fish looks tired other fish look normal,0,Bacterial Red disease
gills look damaged does not react much,2,Bacterial gill disease
White patch starting from tail fish looks tired,6,Viral diseases White tail disease
fish swimming normally,4,Healthy Fish
in my aquarium inflamed red areas red wounds on belly color looks dull fish looks bloated and weak getting worse...,0,Bacterial Red disease
today i saw mucus on gills staying at bottom water smells bad started recently,2,Bacterial gill disease
since yesterday active and eating well no fungus started recently,4,Healthy Fish
color looks dull one fish has gills look damaged red streaks around tail what disease is this?,2,Bacterial gill disease
PROBLEM IS NORMAL BREATHING WATER SLIGHTLY DIRTY NOT SURE WHAT HAPPENED,4,Healthy Fish
INFLAMED RED AREAS STAYING AT BOTTOM,0,Bacterial Red disease
problem is gasping at water surface not eating properly slow swimming oxygen level may be low not sure what happened,2,Bacterial gill disease
scales sticking out less active than usual my fish has is it serious fluid filled belly abnormal swimming,1,Bacterial diseases - Aeromoniasis
since yesterday parasites attached to skin breathing faster than normal color looks dull water is cloudy tail turning white please help,5,Parasitic diseases
Red streaks around tail red wounds on belly not eating properly color looks dull ph may be unstable is it serious?,0,Bacterial Red disease
hiding in corner fish was moved to new tank,3,Fungal diseases Saprolegniasis
clamped fins tiny salt like dots sometimes floating near surface fish was moved to new tank not sure what happened,5,Parasitic diseases
gasping at water surface sometimes floating near surface,2,Bacterial gill disease
COLOR LOOKS DULL WHITE SPOTS ON BODY,5,Parasitic diseases
today i saw bright body color pH may be unstable,4,Healthy Fish
milky white tail less active than usual,6,Viral diseases White tail disease
hiding in corner ammonia may be high,3,Fungal diseases Saprolegniasis
today i saw active and eating well,4,Healthy Fish
getting worse white hairy patch fish looks tired fluffy fungas wound,3,Fungal diseases Saprolegniasis
BROWN GILL COLOR DOES NOT REACT MUCH IS IT SERIOUS TAIL TISSUE DAMAGED,6,Viral diseases White tail disease
in my aquarium brown gill color mucus on gills less active than usual fish looks stressed getting worse,2,Bacterial gill disease
hiding in corner brown gill color swollen gills in my aquarium...,2,Bacterial gill disease
stays near filter outlet fins are clamped...,2,Bacterial gill disease
i noticed body ulcer dropsy like swelling breathing faster than normal feed was changed recently fish opens mouth repeatedly it happens mostly at night,1,Bacterial diseases - Aeromoniasis
